"trace_id","any(body)","time"
"ff13ffc0972b6a19cbee4f471abe9a8c","{} {} {""app"":""bigbasket"",""subCat"":""Core"",""d"":{""Payload"":{""kind"":""suspected_crash"",""lastActive"":""2025-12-08T15:03:05Z"",""timestamp"":""2025-12-09T06:41:11Z"",""sdkName"":""Nudgecore_iOS"",""captureMethod"":""HeartbeatMonitor"",""sdkVersion"":""10.0.5"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""timeSinceLastActive"":56286.71340799332}},""cat"":""Crash"",""msg"":""""}",1765262472460000000
"ba0a9676bf6a9e0eaf18dd544e38ccbc","{} {} {""subCat"":""Core"",""d"":{""Payload"":{""note"":""Crash detected via stale heartbeat - no stack trace available"",""kind"":""suspected_crash"",""sdkName"":""Nudgecore_iOS"",""timeSinceLastActive"":49321.67693197727,""sdkVersion"":""10.0.5"",""lastActive"":""2025-12-08T16:51:20Z"",""timestamp"":""2025-12-09T06:33:21Z"",""captureMethod"":""HeartbeatMonitor""}},""msg"":"""",""cat"":""Crash"",""app"":""bigbasket""}",1765262001953000000
"a424510271b8e09088f87cbace2b326e","{} {} {""subCat"":""Core"",""app"":""bigbasket"",""msg"":"""",""d"":{""Payload"":{""lastActive"":""2025-12-08T19:54:20Z"",""captureMethod"":""HeartbeatMonitor"",""sdkName"":""Nudgecore_iOS"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""kind"":""suspected_crash"",""timestamp"":""2025-12-09T05:09:14Z"",""timeSinceLastActive"":33294.93181395531,""sdkVersion"":""10.0.5""}},""cat"":""Crash""}",1765256955543000000
"7a0bd2257467fff8e8a57dcda8379469","{} {} {""d"":{""Payload"":{""sdkVersion"":""10.0.5"",""timestamp"":""2025-12-09T02:55:07Z"",""captureMethod"":""HeartbeatMonitor"",""sdkName"":""Nudgecore_iOS"",""lastActive"":""2025-12-08T16:47:29Z"",""kind"":""suspected_crash"",""timeSinceLastActive"":36458.26223194599,""note"":""Crash detected via stale heartbeat - no stack trace available""}},""cat"":""Crash"",""msg"":"""",""app"":""bigbasket"",""subCat"":""Core""}",1765248907708000000
"0900c4752a1d7aa47d094ebc93cfc789","{} {} {""cat"":""Crash"",""d"":{""Payload"":{""timestamp"":""2025-12-08T18:27:34Z"",""sdkVersion"":""10.0.5"",""captureMethod"":""HeartbeatMonitor"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""lastActive"":""2025-12-08T14:59:40Z"",""sdkName"":""Nudgecore_iOS"",""timeSinceLastActive"":12474.687711000443,""kind"":""suspected_crash""}},""subCat"":""Core"",""app"":""bigbasket"",""msg"":""""}",1765218454948000000
"46d6119ea02156d0c870b85d52264a74","{} {} {""d"":{""Payload"":{""sdkName"":""Nudgecore_iOS"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""timestamp"":""2025-12-08T16:45:12Z"",""kind"":""suspected_crash"",""sdkVersion"":""10.0.5"",""lastActive"":""2025-12-08T16:12:28Z"",""timeSinceLastActive"":1964.61969602108,""captureMethod"":""HeartbeatMonitor""}},""msg"":"""",""app"":""bigbasket"",""subCat"":""Core"",""cat"":""Crash""}",1765212312762000000
"0ad8c1797c83b9808f961bf393599cc0","{} {} {""subCat"":""Core"",""cat"":""Crash"",""msg"":"""",""app"":""bigbasket"",""d"":{""Payload"":{""timestamp"":""2025-12-08T16:28:31Z"",""lastActive"":""2025-12-08T14:45:53Z"",""sdkVersion"":""10.0.5"",""kind"":""suspected_crash"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""captureMethod"":""HeartbeatMonitor"",""timeSinceLastActive"":6158.259793996811,""sdkName"":""Nudgecore_iOS""}}}",1765211311916000000
"a86f06ad220d07e0750d63fe4c0e5836","{} {} {""app"":""Nykaa"",""cat"":""Crash"",""msg"":"""",""d"":{""Payload"":{""signal"":""SIGTRAP"",""state"":{""appState"":""active"",""isMainThread"":true,""isLowPowerModeEnabled"":false,""orientation"":0},""sdkVersion"":""10.0.3"",""sdkFrameCount"":5,""kind"":""crash"",""exceptionReason"":""Terminated by SIGTRAP at 0x100f4eda4"",""exceptionName"":""SIGTRAP"",""crashLocation"":{""instructionPointer"":""0x106727710"",""symbolName"":""0x106727710"",""frameIndex"":3,""moduleName"":""Nudgecore_iOS"",""isSDKFrame"":true},""sdkName"":""Nudgecore_iOS"",""signature"":""SIGTRAP:0x106727710"",""appInfo"":{""version"":""1341"",""appBuild"":""1341"",""marketingVersion"":""4.9.8"",""appVersion"":""4.9.8"",""bundleIdentifier"":""com.nykaa.ios"",""appBundleID"":""com.nykaa.ios""},""frames"":[{""symbolName"":""-[_TtC5Nykaa16GuidedSearchView scrollViewDidScroll:]"",""instructionPointer"":""0x100f4eda4"",""frameIndex"":0,""moduleName"":""Nykaa"",""isSDKFrame"":false},{""symbolName"":""-[_TtC5Nykaa16GuidedSearchView scrollViewDidScroll:]"",""instructionPointer"":""0x100f4df04"",""frameIndex"":1,""moduleName"":""Nykaa"",""isSDKFrame"":false},{""symbolName"":""-[_TtC5Nykaa16GuidedSearchView scrollViewDidScroll:]"",""instructionPointer"":""0x100f4c058"",""frameIndex"":2,""moduleName"":""Nykaa"",""isSDKFrame"":false},{""instructionPointer"":""0x106727710"",""symbolName"":""0x106727710"",""frameIndex"":3,""moduleName"":""Nudgecore_iOS"",""isSDKFrame"":true},{""instructionPointer"":""0x10679408c"",""symbolName"":""0x10679408c"",""frameIndex"":4,""moduleName"":""Nudgecore_iOS"",""isSDKFrame"":true},{""instructionPointer"":""0x106794aa8"",""symbolName"":""0x106794aa8"",""frameIndex"":5,""moduleName"":""Nudgecore_iOS"",""isSDKFrame"":true},{""instructionPointer"":""0x10686ab6c"",""symbolName"":""0x10686ab6c"",""frameIndex"":6,""moduleName"":""Nudgecore_iOS"",""isSDKFrame"":true},{""symbolName"":""<redacted>"",""instructionPointer"":""0x18d349850"",""frameIndex"":7,""moduleName"":""CoreFoundation"",""isSDKFrame"":false},{""symbolName"":""<redacted>"",""instructionPointer"":""0x18d349914"",""frameIndex"":8,""moduleName"":""CoreFoundation"",""isSDKFrame"":false},{""instructionPointer"":""0x18d349770"",""symbolName"":""<redacted>"",""frameIndex"":9,""moduleName"":""CoreFoundation"",""isSDKFrame"":false}],""systemInfo"":{""osVersion"":""26.1"",""osBuild"":""23B5064e"",""architecture"":""arm64"",""timestamp"":""2025-12-08T06:59:20Z""},""timestamp"":""2025-12-08T06:59:45Z""}},""subCat"":""Core""}",1765177185577000000
"f60c9187ddddbcc03d98de2c79cb4d33","{} {} {""cat"":""Crash"",""msg"":"""",""d"":{""Payload"":{""note"":""Crash detected via stale heartbeat - no stack trace available"",""lastActive"":""2025-12-08T02:25:30Z"",""timestamp"":""2025-12-08T03:42:11Z"",""sdkName"":""Nudgecore_iOS"",""kind"":""suspected_crash"",""sdkVersion"":""10.0.5"",""timeSinceLastActive"":4601.37172794342,""captureMethod"":""HeartbeatMonitor""}},""subCat"":""Core"",""app"":""bigbasket""}",1765165331572000000
"697619982f021f648a237f98cd91c0d1","{} {} {""d"":{""Payload"":{""lastActive"":""2025-12-05T03:03:43Z"",""sdkName"":""Nudgecore_iOS"",""timeSinceLastActive"":137500.36338496208,""captureMethod"":""HeartbeatMonitor"",""kind"":""suspected_crash"",""note"":""Crash detected via stale heartbeat - no stack trace available"",""sdkVersion"":""10.0.5"",""timestamp"":""2025-12-06T17:15:23Z""}},""cat"":""Crash"",""app"":""ACKO"",""subCat"":""Core"",""msg"":""""}",1765041325542000000
